depth	min95%	max95%	best	accrate
601	12764	13145	12906	38.27
602	12801	13182	12944	38.33
603	12838	13219	12982	38.39
604	12877	13256	13021	38.45
605	12915	13294	13059	38.51
606	12951	13332	13098	38.57
607	12988	13370	13136	38.62
608	13026	13408	13175	38.68
609	13064	13446	13213	38.74
610	13102	13484	13252	38.79
611	13140	13522	13291	38.84
612	13177	13560	13330	38.9
613	13215	13598	13369	38.95
614	13254	13636	13408	39
615	13293	13673	13447	39.05
616	13331	13711	13486	39.1
617	13370	13750	13525	39.15
618	13408	13787	13564	39.19
619	13447	13825	13603	39.24
620	13487	13863	13642	39.29
621	13527	13901	13682	39.33
622	13567	13939	13721	39.37
623	13607	13978	13760	39.42
624	13646	14016	13800	39.46
625	13685	14053	13839	39.5
626	13725	14090	13879	39.54
627	13764	14128	13918	39.58
628	13803	14166	13958	39.62
629	13843	14203	13997	39.66
630	13882	14241	14037	39.69
631	13921	14278	14077	39.73
632	13961	14315	14117	39.77
633	14001	14352	14156	39.8
634	14040	14388	14196	39.83
635	14079	14426	14236	39.87
636	14119	14464	14276	39.9
637	14158	14501	14316	39.93
638	14198	14538	14356	39.96
639	14237	14576	14396	39.99
640	14278	14616	14436	40.02
641	14317	14655	14476	40.04
642	14357	14692	14516	40.07
643	14397	14731	14556	40.1
644	14437	14768	14596	40.12
645	14477	14805	14636	40.15
646	14517	14842	14676	40.17
647	14556	14880	14716	40.19
648	14596	14918	14756	40.21
649	14637	14956	14797	40.23
650	14676	14994	14837	40.25
651	14715	15035	14877	40.27
652	14754	15074	14917	40.29
653	14792	15115	14958	40.31
654	14830	15156	14998	40.32
655	14868	15195	15038	40.34
656	14907	15236	15079	40.35
657	14945	15273	15119	40.37
658	14983	15314	15159	40.38
659	15022	15356	15200	40.39
660	15062	15398	15240	40.4
661	15101	15438	15281	40.41
662	15139	15479	15321	40.42
663	15177	15521	15361	40.43
664	15215	15562	15402	40.44
665	15253	15602	15442	40.45
666	15291	15640	15483	40.45
667	15329	15680	15523	40.46
668	15367	15721	15564	40.46
669	15406	15761	15604	40.46
670	15446	15802	15645	40.47
671	15486	15845	15685	40.47
672	15526	15889	15726	40.47
673	15565	15931	15766	40.47
674	15601	15973	15806	40.47
675	15636	16014	15847	40.47
676	15674	16055	15887	40.47
677	15713	16098	15928	40.47
678	15752	16140	15968	40.47
679	15791	16183	16009	40.47
680	15830	16225	16049	40.47
681	15869	16266	16090	40.47
682	15905	16309	16130	40.47
683	15944	16351	16171	40.47
684	15982	16394	16211	40.47
685	16020	16437	16252	40.47
686	16056	16479	16292	40.47
687	16094	16522	16333	40.47
688	16133	16565	16373	40.47
689	16172	16608	16413	40.47
690	16210	16650	16454	40.47
691	16246	16693	16494	40.47
692	16283	16736	16535	40.47
693	16319	16779	16575	40.47
694	16355	16821	16616	40.47
695	16393	16864	16656	40.47
696	16432	16907	16697	40.47
697	16470	16949	16737	40.47
698	16508	16992	16778	40.47
699	16546	17035	16818	40.47
700	16584	17079	16859	40.47
701	16622	17122	16899	40.47
702	16660	17164	16940	40.47
703	16698	17206	16980	40.47
704	16736	17250	17021	40.47
705	16774	17292	17061	40.47
706	16812	17335	17101	40.47
707	16848	17377	17142	40.47
708	16886	17420	17182	40.47
709	16923	17464	17223	40.47
710	16961	17507	17263	40.47
711	16999	17550	17304	40.47
712	17037	17594	17344	40.47
713	17070	17638	17385	40.47
714	17103	17682	17425	40.47
715	17140	17726	17466	40.47
716	17179	17770	17506	40.47
717	17218	17813	17547	40.47
718	17256	17855	17587	40.47
719	17295	17897	17628	40.47
720	17333	17940	17668	40.47
721	17369	17982	17708	40.47
722	17405	18025	17749	40.47
723	17441	18069	17789	40.47
724	17477	18113	17830	40.47
725	17513	18156	17870	40.47
726	17549	18200	17911	40.47
727	17585	18244	17951	40.47
728	17621	18288	17992	40.47
729	17658	18332	18032	40.47
730	17694	18376	18073	40.47
731	17730	18419	18113	40.47
732	17764	18463	18154	40.47
733	17799	18507	18194	40.47
734	17834	18550	18235	40.47
735	17872	18594	18275	40.47
736	17910	18638	18316	40.47
737	17946	18682	18356	40.47
738	17982	18725	18396	40.47
739	18018	18768	18437	40.47
740	18054	18811	18477	40.47
741	18089	18854	18518	40.47
742	18125	18897	18558	40.47
743	18161	18941	18599	40.47
744	18197	18984	18639	40.47
745	18232	19027	18680	40.47
746	18268	19070	18720	40.47
747	18304	19113	18761	40.47
748	18339	19156	18801	40.47
749	18375	19199	18842	40.47
750	18413	19242	18882	40.47
751	18448	19286	18923	40.47
752	18484	19329	18963	40.47
753	18520	19372	19003	40.47
754	18555	19415	19044	40.47
755	18591	19458	19084	40.47
756	18626	19501	19125	40.47
757	18661	19544	19165	40.47
758	18697	19587	19206	40.47
759	18732	19631	19246	40.47
760	18767	19674	19287	40.47
761	18802	19717	19327	40.47
762	18837	19760	19368	40.47
763	18872	19803	19408	40.47
764	18908	19846	19449	40.47
765	18943	19889	19489	40.47
766	18979	19932	19530	40.47
767	19016	19975	19570	40.47
768	19053	20019	19610	40.47
769	19090	20062	19651	40.47
770	19127	20105	19691	40.47
771	19163	20148	19732	40.47
772	19198	20191	19772	40.47
773	19236	20233	19813	40.47
774	19274	20277	19853	40.47
775	19312	20320	19894	40.47
776	19349	20364	19934	40.47
